description,amount,date,category
BC INCOME ASSISTANCE 0111,444.7,2026-01-29,Government Support and Pensions
ATM Cash DEP City of Vancouver Payroll 558822,749.55,2026-04-29,Salary / Payroll
adventure hq oman debit,-43.5,2026-03-16,Entertainment and Leisure
E-TRANSFERLAURENTIANBANKLOAN,-4462.79,2025-12-28,Loan Payments
INTERAC MANULIFE CANADA VICTORIAVILLE,-42.99,2026-02-04,Insurance
@publicauthoritypensionoman,647.71,2026-03-28,Government Support and Pensions
E-TRANSFERONTARIOWORKSOW,979.46,2026-04-28,Government Support and Pensions
TRFTOSIRIUSXMCANADA,-73.15,2025-12-05,Entertainment and Leisure
POS 128841-thw-rbcmortgagecanada,-12405.39,2025-12-07,Loan Payments
POS PURCHASE MUSCAT DUNES HOTEL Apr 7,-4880.46,2026-03-10,Travel and Hotels
Al Khalij Commercial Bank Loan Store #834,-19576.62,2026-01-10,Loan Payments
VISADEBITBELLDEVICEPROTECTIONSAG,-134.72,2026-01-07,Telecom
VISADEBITDELTAHOTELSCALGARYSUD,-2210.59,2026-01-09,Travel and Hotels
WARBA BANK OMAN#9355,-483.26,2026-04-09,Bank Charges
TRFTOHOMEBUILDINGCENTRECANADA,-330.1,2025-12-20,Home Goods and Furniture
POS LAURENTIAN BANK AUTO FINANCE CANADA **8517,-2472.95,2026-03-18,Vehicle Loans and Fines
TRFTOOCEANSFRESHFOODMARKET,-159.08,2025-11-11,Groceries
TRF TO JEEP SERVICE OMAN,-21053.45,2026-03-20,Fuel and Transport
ATM Cash Withdrw HungerStation Oman 899601 00:47:37,-838.06,2026-02-07,Other / Uncategorized
TRF TO BELL CANADA PAYROLL,13477.28,2026-12-30,Salary / Payroll
Payment:SCOTIABANK HELOC CANADA,-18810.11,2026-01-01,Loan Payments
POS PURCHASE OMAN HOTELS AND TOURISM OMRAN May 18,-4236.67,2026-02-10,Travel and Hotels
RENT PAYMENT OTTAWA *8073,-737.23,2025-12-25,Rent Payments
POS 210621-PH&N FUNDS CANADA - 171 P O BOX 168,-898.47,2025-12-07,Savings and Investments
BIRD SCOOTER CANADA SERVICE CHARGE,-46428.57,2026-03-08,Fuel and Transport
POS 487024-GHUBRA PHARMACY - 444 P O BOX 645,-1813.38,2026-04-27,Medical and Health
RECEIPTDUCACREDITUNIONADAM,104.16,2026-03-28,Bank Charges
GO TRANSIT#9202,-22594.03,2025-12-04,Fuel and Transport
Payment:ELAD CANADA,-1082.84,2026-03-04,Rent Payments
POS 775932-LIFEMARK PHYSIOTHERAPY - 257 P O BOX 215,-4292.34,2026-02-07,Medical and Health
TRF HERITAGE GAS NOVA SCOTIA,-115.58,2025-12-21,Housing and Utilities
OCTRANSPOOTTAWA_38031,-24082.51,2026-02-22,Fuel and Transport
ENBRIDGE GASPOSBAUSHER,-187.22,2026-02-07,Housing and Utilities
TIDAL CANADA SERVICE CHARGE,-15.91,2026-04-21,Entertainment and Leisure
Shahid Oman Trnsfr,707.08,2026-01-30,Other / Uncategorized
RECEIVED_FROM_PH&N_Funds_Canada,851.92,2026-11-29,Savings and Investments
POS PURCHASE FORESTERS FINANCIAL CANADA Apr 14,-205.86,2026-03-26,Insurance
SITEGROUND CANADA CARD*7857,-296.02,2025-12-24,Other / Uncategorized
MYCONNECTOMANPOSNIZWA,-111.85,2026-05-25,Telecom
SCOTIABANK TFSA CANADA_BID,-323.74,2026-05-16,Savings and Investments
MALL OF MUSCAT TXNID:8218064,-67.95,2026-03-08,Entertainment and Leisure
MANITOBA EMPLOYMENT INCOME ASSISTANCE:PAY,439.12,2025-03-28,Government Support and Pensions
Wallet Trx 2331653661027 RIFCO NATIONAL AUTO FINANCE,-13371.5,2026-05-19,Vehicle Loans and Fines
OMAN GAS COMPANY PAYMENT,-213.42,2026-03-27,Housing and Utilities
REVENU QUEBEC / PENTICTON,-871.11,2026-05-24,Government Services
INTERAC OMAN TOURISM COLLEGE COCHRANE ALBERTA,-3415.61,2026-04-24,Education
TRF TO BEDDING MASTERS OMAN,-73.58,2026-01-03,Home Goods and Furniture
LIBRARY ARCHIVES CANADA LLC,-604.31,2026-01-08,Government Services
disnat canada debit,-421.95,2026-04-05,Savings and Investments
ATM Cash Withdrw ROP Traffic Department 384707 05:32:42,-4014.17,2026-02-09,Vehicle Loans and Fines
txn LYFT CANADA,-15414.43,2026-03-06,Fuel and Transport
@bankmuscatmonthlysalary,14036.84,2026-02-28,Salary / Payroll
ATMCashDEPConestogaCollege531541,-12886.26,2026-02-10,Education
VISADEBITARABINTERNATIONALCONNECTHAM,-82.33,2026-04-28,Telecom
Sur Cooperative x6131,-187.91,2026-02-03,Groceries
POS 503151-STRUCTUBE CANADA - 828 P O BOX 756,-76.82,2026-01-17,Home Goods and Furniture
streettohomescanadaLONGUEUIL,-7975.82,2026-02-20,Charity Donations
ATMCashDEPCaltexOman106480,-32476.69,2026-03-12,Fuel and Transport
Pearl Coast Residence Trnsfr,1130.64,2025-01-29,Rent Payments
TRFBUILD-A-BEARCANADA,-289.79,2026-01-09,Shopping & Retail
THEST_40,-5893.38,2026-04-01,Charity Donations
RBC AUTO LOAN CANADA#3957,-3247.38,2026-01-01,Vehicle Loans and Fines
Wallet Trx 9280322931070 SHOE WAREHOUSE CANADA,-431.22,2025-12-01,Shopping & Retail
PAYMENT TO PEI STUDENT LOAN FOR September 2023,-10330.17,2026-04-07,Loan Payments
ATM Cash Withdrw Golden Dragon Restaurant 665656 03:46:24,-86.52,2026-03-03,Dining and Cafes
tangerinetfsacanadacrd,-1163.37,2026-02-09,Savings and Investments
TRF VOX CINEMAS OMAN,-57.16,2026-02-07,Entertainment and Leisure
VISADEBITCITYOFOTTAWAUTILITIESSTE,-262.25,2026-01-27,Housing and Utilities
OABOmanArabBankTrnsfr,294.93,2025-01-29,Bank Charges
VISADEBITLUCKYMOBILECANADAAMH,-24.5,2026-02-04,Telecom
HERTZ CANADA SERVICE CHARGE,-39057.46,2025-12-11,Fuel and Transport
QUICKPICK GROCERY 3006,-188.72,2025-12-04,Groceries
ZURICHINSURANCEOMANSERVICECHARGE,-326.41,2026-01-04,Insurance
ATMCashDEPHyundaiFinancialCanada676499,-9675.01,2026-03-02,Vehicle Loans and Fines
WAL Cr4700164144639 BM,-4816.95,2026-04-04,Medical and Health
www.safetydepositcanada.com,-296.05,2026-05-03,Bank Charges
CANAD_46,-2244.53,2025-12-09,Loan Payments
ACCESSORIZE OMAN / IBRA,-125.06,2026-05-02,Shopping & Retail
WAL Cr3427318815990 BM,-48.48,2025-11-14,Entertainment and Leisure
OMAN GAS COMPANY *2834,-290.76,2026-02-02,Housing and Utilities
SULTAN QABOOS UNIVERSITY *9988,-8603.57,2026-01-06,Education
BMW Financial Services Canada - payment,-12398.95,2025-11-03,Vehicle Loans and Fines
TransferfromNewBrunswickSocialAssistance,889.82,2026-04-28,Government Support and Pensions
NATURE CONSERVANCY CANADA_CRA,-8437.98,2026-04-01,Charity Donations
AL REHAB PERFUMES 1402,-9.1,2026-04-07,Shopping & Retail
PUR-ALAINALA,-790.89,2026-02-24,Insurance
txn NEWFOUNDLAND INCOME SUPPORT,603.24,2026-03-29,Government Support and Pensions
PAYMENT TO EMPLOI-QUEBEC FOR May 2024,-699.99,2025-12-09,Government Services
TRFTOBYBLOSTORONTO,-178.93,2026-03-07,Dining and Cafes
MS SOCIETY CANADA SERVICE CHARGE,-1191.73,2026-04-04,Charity Donations
VISADEBITTRINITYWESTERNBCGAT,-11882.54,2026-04-03,Education
FANDANGO CANADA:TRF,-65.71,2025-12-10,Entertainment and Leisure
TELUS PREPAID CANADA#2190,-54.42,2026-02-12,Telecom
WAL Cr7857344202783 BM,-156.81,2026-04-06,Home Goods and Furniture
CTBCBANKCANADA_THU,-321.86,2026-01-08,Bank Charges
DRIVE CLEAN ONTARIO CARD*3831,-9731.08,2026-03-09,Vehicle Loans and Fines
RECEIPT COLDWELL BANKER OMAN WATTAYAH,-1848.35,2026-01-04,Rent Payments
POS PURCHASE NEWFOUNDLAND INCOME SUPPORT Dec 19,375.08,2026-04-30,Government Support and Pensions
TRF TO MCDONALD'S CANADA,-225.55,2026-02-15,Dining and Cafes
PAYMENTTOHOMESENSECANADAFOROctober2023,-145.06,2026-01-23,Shopping & Retail
TRFBOWLINGCITYOMAN,-5.09,2026-04-04,Entertainment and Leisure
SYLVAN LEARNING OMAN 0606,-2017.05,2026-05-08,Education
Escape Room Oman Trnsfr,33.0,2025-04-29,Entertainment and Leisure
MASTERCARD BOSSINI OMAN *9799,-288.55,2025-12-09,Shopping & Retail
BOSAPROPERTIESCANADAPOSHAWKESBURY,-2293.84,2025-12-02,Rent Payments
APTECH COMPUTER EDUCATION OMANPOSMARKHAM,-10097.86,2026-05-08,Education
AppleiTunesCanada-payment,-70.04,2026-04-08,Entertainment and Leisure
www.nizwahospital.com,-1159.01,2025-12-19,Medical and Health
PHO 88 TORONTO#8552,-139.86,2026-01-24,Dining and Cafes
Statistics Canada Trnsfr,173.96,2025-03-30,Government Services
POS764661-thw-cysticfibrosiscanada,-5875.42,2026-04-10,Charity Donations
ATM Cash Withdrw Subaru Financial Canada 447899 22:14:08,-11586.05,2025-12-10,Vehicle Loans and Fines
BLUESHOREFINANCIALPOSALKOUDH,-271.75,2026-02-08,Bank Charges
POS PURCHASE FRESH SOUQ Jan 21,-94.52,2026-02-05,Groceries
MASTERCARD GADGETWORLD ELECTRONICS OMAN *1597,-863.85,2026-05-04,Other / Uncategorized
CAREEM TXNID:7293124,-7450.88,2025-12-01,Fuel and Transport
FUN CITY OMAN:TRF,-69.88,2025-11-16,Entertainment and Leisure
Wallet Trx 6791644748640 MUSCAT REALTY,-1417.78,2026-05-03,Rent Payments
MASTERCARD OMANTEL *3876,-27.68,2025-12-04,Telecom
CANADA REVENUE AGENCY_75527,-480.41,2026-03-08,Government Services
GovernmentBusinessSubsidyCanadaStore#847,1603.77,2026-12-29,Business or Freelance Income
E-TRANSFER VIRGIN PLUS CANADA,-130.9,2026-01-04,Telecom
studentloancanadanslscIBRA,-11894.18,2026-01-13,Loan Payments
RECEIVED_FROM_YouTube_Revenue,2178.38,2025-12-29,Business or Freelance Income
txnTDRRSPCONTRIBUTION,-1595.72,2026-05-02,Savings and Investments
AIRMI_62,-28.96,2026-05-09,Entertainment and Leisure
TRANSALTA CANADA SERVICE CHARGE,-184.87,2026-01-08,Housing and Utilities
Payment:ESCAPE MANOR TORONTO,-40.19,2025-12-06,Entertainment and Leisure
WalletTrx9834740322298AMBROSIANATURALFOODS,-57.7,2026-04-08,Groceries
Nama Electricity Supply Company Store #670,-206.49,2026-04-08,Housing and Utilities
PUR-CRAVESUB,-515.03,2026-04-01,Other / Uncategorized
POSLAURENTIANBANKLOAN**1945,-1975.83,2025-11-09,Loan Payments
InternationalTransferFeeBankMuscatTrnsfr,410.33,2026-01-30,Bank Charges
RECEIVED_FROM_SAIT_Calgary,1189.72,2026-04-29,Education
@rogerssatellitecanada,-120.9,2026-04-05,Telecom
ARABI_58,-437.69,2026-04-20,Shopping & Retail
TRF TO CHRYSLER CAPITAL CANADA,-11512.92,2026-04-22,Vehicle Loans and Fines
WSIB ONTARIO *4474,-710.31,2026-04-06,Government Services
RENTPAYMENTMISSISSAUGASERVICECHARGE,-304.44,2025-12-11,Rent Payments
TYPO OMAN:TRF,-207.46,2026-05-04,Shopping & Retail
UNITED FINANCE COMPANY OMAN TXNID:3536467,-19733.4,2026-03-06,Loan Payments
UKG PAYROLL CANADA_67773,30448.89,2026-01-29,Salary / Payroll
ATM Cash DEP Vancouver International Film Festival 934321,-7.44,2026-02-08,Entertainment and Leisure
txnMERIDIANRRSPCANADA,-782.22,2026-04-04,Savings and Investments
REGENT PARK COMMUNITY HEALTH CENTREPOSCHARLOTTETOWN,-9190.49,2026-03-07,Charity Donations
HALIFAX WATER CARD*5793,-288.69,2026-05-14,Housing and Utilities
PAYMENT TO BELL MOBILITY CANADA FOR March 2020,-192.44,2026-03-05,Telecom
HILALPROPERTIES*9806,-794.76,2025-12-21,Rent Payments
FORD SERVICE OMAN CARD*2812,-49361.96,2026-01-22,Fuel and Transport
BROOKFIELDRENEWABLECANADALLC,-91.77,2026-02-24,Housing and Utilities
Starlight Investments Canada Trnsfr,1313.32,2026-01-29,Rent Payments
AL NOOR OPTICAL SERVICE CHARGE,-3317.38,2026-03-03,Medical and Health
POSPURCHASEBELLFIBETVCANADADec7,-50.21,2026-04-06,Telecom
WORKDAY HCM PAYROLL SERVICE CHARGE,31998.11,2026-12-29,Salary / Payroll
COLDWELL BANKER OMAN#1436,-116.37,2026-05-27,Rent Payments
ALMADINAREALESTATEINC,-1816.58,2026-04-22,Rent Payments
RECEIVED_FROM_National_Gas_Company_Oman,177.46,2026-12-28,Housing and Utilities
STEAM WHISTLE BREWERY:PAY,-77.98,2026-03-23,Entertainment and Leisure
FIRST ABU DHABI BANK OMAN_43791,-266.56,2026-03-10,Bank Charges
ROYAL OMAN POLICE FINE SAOG,-4855.34,2026-04-09,Vehicle Loans and Fines
OASIS CONVENIENCE STORE#6580,-21.16,2026-01-02,Groceries
BRITISH COLUMBIA PUBLIC SERVICE PAY / WINNIPEG,404.45,2026-03-28,Government Support and Pensions
TRFSAFPENSIONOMAN,220.16,2026-02-28,Government Support and Pensions
Service British Columbia Store #370,-777.25,2025-12-03,Government Services
MASTERCARD DOMAIN REGISTRATION OMAN *1852,-326.35,2026-02-10,Other / Uncategorized
ATM Cash Withdrw London Transit Ontario 954884 09:09:27,-1710.27,2025-12-13,Fuel and Transport
Lemon Tree Hotel Muscat Trnsfr,351.78,2026-12-28,Travel and Hotels
@atmospherecanada,-105.44,2026-03-04,Shopping & Retail
www.cineplexstorecanada.com,-52.16,2025-12-05,Entertainment and Leisure
RECEIVED_FROM_PolicyAdvisor_Canada,607.77,2026-12-29,Insurance
www.habitatforhumanitycanada.com,-5597.27,2026-03-04,Charity Donations
Wallet Trx 3340771156401 NAMELY PAYROLL CANADA,30348.45,2026-12-29,Salary / Payroll
@tangerinetfsacanada,-1538.44,2025-12-08,Savings and Investments
www.canadaemergencywagesubsidycews.com,563.46,2026-03-30,Government Support and Pensions
SALALAH FREE ZONE AUTHORITY *2748,-265.78,2025-12-25,Government Services
L'OCCITANE CANADA *4789,-242.5,2026-02-11,Shopping & Retail
HABIB BANK OMAN / HALIFAX,-116.22,2026-03-03,Bank Charges
ATMCashDEPAlizzIslamicSavings815740,-308.3,2026-03-02,Savings and Investments
easter seals canada payment,-9824.46,2025-12-18,Charity Donations
OMAN TELECOM MONTHLY BILL PAYMENT,-22.32,2026-01-05,Telecom
PAYMENT TO BANK DHOFAR AUTO LOAN FOR May 2025,-11283.61,2026-02-22,Vehicle Loans and Fines
Awasr Monthly Bill - payment,-128.03,2026-03-01,Telecom
Payment:SUR COOPERATIVE,-155.27,2026-01-26,Groceries
CPPDisabilityCanadaTrnsfr,122.31,2026-05-30,Government Support and Pensions
ATM Cash DEP NBO Branches 881701,-181.47,2026-03-10,Bank Charges
WAL Cr9357926241841 BM,-986.21,2026-04-20,Medical and Health
lushcosmeticscanadaCHATHAM ONTARIO,-5.62,2026-02-01,Shopping & Retail
RBCMONTHLYSERVICEFEECARD*5536,-174.87,2026-04-27,Bank Charges
Payment:AWIN CANADA,1799.14,2026-04-29,Business or Freelance Income
WAL Cr7247946092195 BM,-202.96,2026-02-14,Groceries
GOOGLE ADSENSE CANADA 2912,624.03,2026-01-28,Business or Freelance Income
GRANDEPRAIRIEREGIONALCOLLEGESERVICECHARGE,-5766.83,2025-11-19,Education
MERIDIAN CREDIT PAYROLL *8198,23594.41,2025-12-29,Salary / Payroll
ONLINE PURCHASE ALBERTA GOVERNMENT SALARY,35532.0,2026-05-29,Salary / Payroll
THRIFTY CAR RENTAL CANADAPOSLEDUC,-33570.37,2025-11-10,Fuel and Transport
SUNSET GRILL CANADA SERVICE CHARGE,-178.21,2025-12-08,Dining and Cafes
TRF TO GRAND KHAN SUPERMARKET,-68.96,2026-02-07,Groceries
FordFinanceOmanTrnsfr,3223.43,2026-12-30,Vehicle Loans and Fines
BRAMPTONFOODBANKLTD,-4166.18,2025-12-24,Charity Donations
Payment:CIBC EMPLOYEE SALARY,22334.25,2026-05-30,Salary / Payroll
Payment:ROGERS DEVICE PROTECTION,-171.76,2026-03-09,Telecom
WAL Cr4341880893920 BM,-4443.52,2026-04-04,Medical and Health
youtube premium canada crd,-5.74,2026-02-07,Entertainment and Leisure
CANADORECOLLEGE*8546,-5774.15,2025-11-10,Education
Transfer from TravelBrands Canada,279.11,2026-03-29,Travel and Hotels
ATM Cash DEP Madinat Qaboos Clinic 699328,-3659.29,2026-04-13,Medical and Health
POS 403745-thw-crateandbarrelcanada,-491.97,2025-12-15,Home Goods and Furniture
E-TRANSFERDOMINO'SCANADA,-32.72,2026-04-06,Dining and Cafes
Qatar Airways x2509,-4029.36,2026-03-02,Travel and Hotels
POS 691597-DROPBOX CANADA - 370 P O BOX 675,-955.1,2026-01-28,Other / Uncategorized
Payment:TAAGEER FINANCE OMAN,-15801.85,2026-04-10,Loan Payments
www.telussatellitecanada.com,-116.87,2026-03-06,Telecom
OMANELECTRICITYTRANSMISSIONCOMPANY/WOODSTOCKONTARIO,-119.8,2025-12-06,Housing and Utilities
ATM Cash DEP Al Khalij Commercial Bank Loan 774377,-1768.36,2026-04-08,Loan Payments
RECEIVED_FROM_Code_Ninjas_Canada,13622.34,2026-04-30,Education
Distributel Canada Trnsfr,107.3,2026-12-29,Telecom
ATMCashWithdrwGoodFoodCanada33766210:20:45,-230.01,2026-02-08,Other / Uncategorized
INTERAC SUZUKI FINANCE OMAN WEST VANCOUVER,-13243.51,2026-03-18,Vehicle Loans and Fines
RECEIVED_FROM_National_Bank_of_Oman,39.2,2026-02-28,Bank Charges
E-TRANSFER DESJARDINS RRSP,-939.88,2026-03-18,Savings and Investments
Payment:ASSEMBLY OF FIRST NATIONS FOUNDATION,-5702.57,2026-03-10,Charity Donations
txn SALALAH HOME CENTRE,-432.08,2026-01-05,Home Goods and Furniture
VANCOUVERFOODBANK0608,-8710.49,2025-11-23,Charity Donations
ENERCARECANADA/MONTREAL,-74.99,2026-05-06,Housing and Utilities
WALCr5352360087110BM,-516.56,2026-01-10,Insurance
CENTRE FOR IMMIGRANT CHILD YOUTH TORONTO PAYMENT,-1109.38,2026-02-17,Charity Donations
Birdlife Conservation Oman Trnsfr,7999.51,2026-02-28,Charity Donations
ATMCashDEPNovaScotiaIncomeAssistance856568,459.34,2025-05-30,Government Support and Pensions
PAYMENT TO INGLOT COSMETICS OMAN FOR April 2020,-451.31,2026-02-02,Shopping & Retail
@canadiancancersociety,-5453.72,2025-12-22,Charity Donations
WAL Cr3887699929262 BM,-42.41,2026-04-01,Entertainment and Leisure
CENTURION APARTMENT REIT TXNID:5842812,-1889.67,2026-03-04,Rent Payments
txn AL MUSANNA COLLEGE OF TECHNOLOGY,-7443.26,2026-03-06,Education
NAMSHIOMANPOSSHINAS,-749.87,2025-12-02,Other / Uncategorized
POS 200627-CONTRACTOR PAYMENT - 613 P O BOX 800,3562.78,2026-03-29,Business or Freelance Income
POSUNIVERSITEDEMONTREAL**5944,-11850.82,2026-03-08,Education
OAB INVESTMENTPOSBIDIYA,-1297.18,2025-11-08,Savings and Investments
GISGUARANTEEDINCOMESUPPLEMENTCANADA/BARKA,854.19,2026-03-28,Government Support and Pensions
PAYMENT TO CANADA EMERGENCY WAGE SUBSIDY CEWS FOR November 2021,995.33,2026-03-28,Government Support and Pensions
POS NBO FIXED DEPOSIT **5556,-483.13,2026-02-04,Savings and Investments
POS 429445-OCEANS FRESH FOOD MARKET - 60 P O BOX 398,-204.45,2026-03-08,Groceries
Qurum International Private School - payment,-11575.67,2026-02-27,Education
nationalprogrammevolunteeromanMADINAT QABOOS,-2092.76,2026-01-07,Charity Donations
KingstonHealthSciencesStore#964,-1776.97,2026-02-18,Medical and Health
HALTON HEALTHCARE_80314,-4513.67,2026-01-19,Medical and Health
NISSANFINANCEOMANLLC,-3159.56,2026-01-02,Vehicle Loans and Fines
FREELANCEMARKETINGINCOMEPOSSUR,151.28,2026-11-30,Business or Freelance Income
MASTERCARD TORONTO PEARSON AIRPORT PARKING *6381,-3341.23,2026-04-07,Fuel and Transport
orient insurance oman debit,-226.31,2026-05-15,Insurance
WAL Cr6285621789334 BM,-61.29,2025-12-20,Telecom
INTERAC ROYAL OMAN POLICE RUWI,-187.51,2025-12-05,Government Services
MABELA PROPERTIES LTD,-1696.84,2026-01-11,Rent Payments
STUBHUB CANADA_PRI,-14.55,2026-04-02,Entertainment and Leisure
POS 326979-thw-oqchemicalssalary,16749.78,2026-04-29,Salary / Payroll
PAYMENTTOCLASSICFURNITUREOMANFORMay2020,-419.39,2026-05-10,Home Goods and Furniture
POS FLEXOFFERS CANADA **6813,3977.34,2025-02-28,Business or Freelance Income
Payment:LAMBTONCOLLEGE,-5608.6,2026-03-09,Education
POS 120655-thw-bankmuscatautofinance,-5058.26,2025-12-23,Vehicle Loans and Fines
Prudential Oman - payment,-972.7,2026-01-10,Insurance
POS PURCHASE SOHAR TRAFFIC FINE May 28,-14182.07,2026-04-12,Vehicle Loans and Fines
BMO INVESTORLINE TXNID:7305052,-1426.83,2026-03-28,Savings and Investments
Google Play Canada x4548,-64.29,2026-03-08,Entertainment and Leisure
THEGULFPRIVATESCHOOL0506,-3553.21,2026-03-03,Education
RECEIPT NATURE CONSERVANCY CANADA STONEY CREEK,-5589.69,2026-01-03,Charity Donations
ATM Cash Withdrw CN Rail Salary 670725 08:58:23,17596.97,2025-01-28,Salary / Payroll
ATM Cash Withdrw Manulife Investments Canada 225477 08:40:54,-1421.41,2026-04-06,Savings and Investments
RED DEER COLLEGE ALBERTA#8798,-2565.81,2026-04-07,Education
POS FOUR SEASONS CENTRE TORONTO **9107,-84.35,2026-04-09,Entertainment and Leisure
WAL Cr5173399865455 BM,-196.43,2026-02-07,Telecom
CANADA LEARNING BOND CLB_85922,859.03,2025-12-30,Government Support and Pensions
BNP PARIBAS OMAN TXNID:6395855,-282.61,2026-04-03,Bank Charges
@salammobilerecharge,-119.14,2026-04-10,Telecom
Sunwing Airlines Canada Store #564,-4341.56,2026-02-04,Travel and Hotels
SCOTIABANK MONTHLY FEE_POR,-169.89,2026-05-08,Bank Charges
ATM Cash Withdrw RFC 363840 16:54:53,-33.3,2025-12-22,Dining and Cafes
INTERAC AL HAMRA FURNITURE MAPLE RIDGE,-472.09,2025-12-05,Home Goods and Furniture
charlottetilburyomanMABELA,-37.36,2026-04-05,Shopping & Retail
RECEIVED_FROM_Boardwalk_Rental_Communities,2080.08,2026-12-28,Rent Payments
RECEIVED_FROM_Laurentian_Bank_Mortgage,2630.19,2025-01-28,Loan Payments
RECEIVED_FROM_TurboTax_Canada,21.81,2026-12-30,Other / Uncategorized
OMAN ANIMAL WELFARE SOCIETY *2698,-4804.37,2025-12-05,Charity Donations
RECEIPT ALIZZ INVESTMENT OMAN OTTAWA,-941.38,2025-12-01,Savings and Investments
ONLINEPURCHASEALBANDERHOTEL,-756.25,2026-05-09,Travel and Hotels
WALCr1609468969625BM,33496.26,2026-03-30,Salary / Payroll
POS228521-thw-bayshorehomehealth,-1065.17,2025-12-17,Medical and Health
WIRE TRANSFER NBOPOSABBOTSFORD,-244.13,2026-02-10,Bank Charges
MASTERCARD TORONTO HYDRO SALARY *3442,12269.15,2026-03-28,Salary / Payroll
Shinas College of Technology Trnsfr,8055.05,2025-01-29,Education
PAYMENT TO ISLAMIC RELIEF OMAN FOR March 2019,-372.55,2025-12-25,Charity Donations
POSTORONTOPUBLICLIBRARY**8395,-720.1,2026-03-20,Government Services
TELUS HOME INC,-42.63,2026-04-01,Housing and Utilities
POS 981015-CANADIAN WESTERN BANK LOAN - 269 P O BOX 255,-3503.64,2026-01-07,Loan Payments
Buy-Low Foods Store #343,-76.1,2025-12-23,Groceries
Payment:FRESH MART OMAN,-109.74,2026-01-08,Groceries
txn TEKSAVVY CANADA,-182.66,2026-01-28,Telecom
txn PROGRESSA CANADA,-8521.7,2026-04-10,Loan Payments
POS 823860-thw-althotelcalgary,-4592.26,2026-04-12,Travel and Hotels
amazoncanadaretailpayment,-357.71,2026-01-02,Shopping & Retail
ONLINE PURCHASE MINISTRY OF LABOUR ONTARIO,-771.0,2026-04-01,Government Services
TRF TO BAYCREST HEALTH SCIENCES,-350.68,2025-12-03,Medical and Health
Twitch Payout Canada Store #639,5380.71,2026-03-28,Business or Freelance Income
POS327857-DEUXPARDEUXCANADA-696POBOX131,-69.09,2025-11-05,Shopping & Retail
AGI SUPERMARKET TXNID:2454591,-64.24,2026-03-07,Groceries
JLL OMAN SERVICE CHARGE,-304.63,2026-03-10,Rent Payments
POSPURCHASECO-OPGASCANADAApr22,-35910.77,2026-04-28,Fuel and Transport
Honda Service Oman x6212,-12971.76,2026-02-12,Fuel and Transport
MTOCONSULTINGINCOMETXNID:4443333,5657.92,2026-02-28,Business or Freelance Income
POS 884803-thw-foodbasket,-139.21,2026-01-04,Groceries
WALCr5055467171661BM,-341.9,2025-12-17,Shopping & Retail
TRF TO VODAFONE OMAN,-160.53,2026-03-22,Telecom
ZohoOmanx6060,-915.37,2025-11-04,Other / Uncategorized
CAMH TORONTO MENTAL HEALTH 3107,-1271.25,2025-11-02,Medical and Health
www.freshmartoman.com,-49.73,2026-05-08,Groceries
PAYMENTTOWILLIAMS-SONOMACANADAFORJune2025,-26.88,2025-12-04,Home Goods and Furniture
Muscat Finance Company - payment,-102.38,2026-02-06,Bank Charges
SUNWING AIRLINES CANADA_WAT,-24185.51,2025-11-09,Fuel and Transport
VODAF_13,-173.49,2026-03-07,Telecom
www.bankofindiaoman.com,-89.96,2026-01-04,Bank Charges
POS RIPLEY'S AQUARIUM TORONTO **7564,-89.44,2026-03-20,Entertainment and Leisure
EASTLINK CANADA#5590,-169.49,2026-01-13,Telecom
MSSocietyCanadax8317,-1116.93,2026-04-01,Charity Donations
PAYMENTTOGSTHSTCREDITCANADAFORAugust2019,256.65,2026-01-30,Government Support and Pensions
RESTORATION HARDWARE CANADA PAYMENT,-31.41,2026-04-27,Home Goods and Furniture
E-TRANSFER INVESTMENT INDUSTRY REGULATORY CANADA,-464.8,2026-03-19,Government Services
ALSHIFAPHARMACYOMAN_94648,-4022.42,2026-03-05,Medical and Health
APPLECARE CANADA_HAW,-36.96,2025-12-27,Telecom
www.shawsatellitecanada.com,-95.24,2026-01-07,Telecom
WAL Cr1398087885719 BM,-129.43,2025-12-21,Telecom
CRATE AND BARREL CANADAPOSOAKVILLE,-479.09,2026-05-14,Home Goods and Furniture
PAYMENTTOFRESHIIQUEENSTREETFORApril2021,-297.72,2026-01-26,Dining and Cafes
POS OMAN DOWN SYNDROME ASSOCIATION **7449,-2458.43,2025-12-03,Charity Donations
WALCr7735387358126BM,-422.9,2026-05-06,Shopping & Retail
HECMO_93,-13033.9,2026-02-24,Education
CIBC Investor's Edge x8470,-1219.78,2026-02-13,Savings and Investments
RECEIPTOMANINTERNATIONALBANKGRANBY,-349.3,2026-03-07,Bank Charges
CRUNCH FITNESS CANADA CARD*9949,-2204.69,2026-03-13,Medical and Health
MASTERCARD W MUSCAT *4042,-3615.24,2025-12-20,Travel and Hotels
E-TRANSFER PAEW OMAN,-72.85,2026-03-09,Housing and Utilities
RECEIVED_FROM_ROP_Traffic_Violation_Oman,6161.17,2026-03-30,Vehicle Loans and Fines
BLUEHOST CANADA#3144,-108.78,2026-03-07,Other / Uncategorized
INTERAC FIVERR INCOME MONCTON,2590.18,2026-01-30,Business or Freelance Income
SCOTIABANK STAFF SALARY CARD*3871,6166.26,2026-03-29,Salary / Payroll
